{1: [], 2: [], 3: [], 4: [], 5: []} | Peter | 1
{1: [Peter], 2: [], 3: [], 4: [], 5: []} | Alice | 2
{1: [Peter], 2: [Alice], 3: [], 4: [], 5: []} | Bob | 3
{1: [Peter], 2: [Alice], 3: [Bob], 4: [], 5: []} | Eric | 4
{1: [Peter], 2: [Alice], 3: [Bob], 4: [Eric], 5: []} | Arnold | 5
{1: [Peter], 2: [Alice], 3: [Bob], 4: [], 5: []} | Eric | 5
{1: [Peter], 2: [Alice], 3: [Bob], 4: [], 5: [Eric]} | Arnold | 4
{1: [Peter], 2: [Alice], 3: [], 4: [], 5: []} | Bob | 4
{1: [Peter], 2: [Alice], 3: [], 4: [Bob], 5: []} | Eric | 3
{1: [Peter], 2: [Alice], 3: [Eric], 4: [Bob], 5: []} | Arnold | 5
{1: [Peter], 2: [Alice], 3: [], 4: [Bob], 5: []} | Eric | 5
{1: [Peter], 2: [Alice], 3: [], 4: [Bob], 5: [Eric]} | Arnold | 3
{1: [Peter], 2: [Alice], 3: [Arnold], 4: [Bob], 5: [Eric]} | norwegian | 5
{1: [Peter], 2: [Alice], 3: [Arnold], 4: [Bob], 5: [Eric, norwegian]} | german | 4
{1: [Peter], 2: [Alice], 3: [Arnold], 4: [Bob, german], 5: [Eric, norwegian]} | dane | 1
{1: [Peter], 2: [Alice], 3: [Arnold], 4: [Bob, german], 5: [Eric, norwegian]} | dane | 2
{1: [Peter], 2: [Alice, dane], 3: [Arnold], 4: [Bob, german], 5: [Eric, norwegian]} | brit | 1
{1: [Peter, brit], 2: [Alice, dane], 3: [Arnold], 4: [Bob, german], 5: [Eric, norwegian]} | swede | 3
{1: [Peter, brit], 2: [Alice, dane], 3: [Arnold, swede], 4: [Bob, german], 5: [Eric, norwegian]} | fantasy | 5
{1: [Peter, brit], 2: [Alice, dane], 3: [Arnold, swede], 4: [Bob, german], 5: [Eric, norwegian, fantasy]} | biography | 1
{1: [Peter, brit], 2: [Alice, dane], 3: [Arnold, swede], 4: [Bob, german], 5: [Eric, norwegian, fantasy]} | biography | 2
{1: [Peter, brit], 2: [Alice, dane, biography], 3: [Arnold, swede], 4: [Bob, german], 5: [Eric, norwegian, fantasy]} | romance | 1
{1: [Peter, brit, romance], 2: [Alice, dane, biography], 3: [Arnold, swede], 4: [Bob, german], 5: [Eric, norwegian, fantasy]} | mystery | 3
{1: [Peter, brit, romance], 2: [Alice, dane, biography], 3: [Arnold, swede, mystery], 4: [Bob, german], 5: [Eric, norwegian, fantasy]} | science fiction | 4
{1: [Peter, brit, romance], 2: [Alice, dane, biography], 3: [Arnold, swede, mystery], 4: [Bob, german, science fiction], 5: [Eric, norwegian, fantasy]} | stir fry | 1
{1: [Peter, brit, romance], 2: [Alice, dane, biography], 3: [Arnold, swede, mystery], 4: [Bob, german, science fiction], 5: [Eric, norwegian, fantasy]} | stir fry | 2
{1: [Peter, brit, romance], 2: [Alice, dane, biography, stir fry], 3: [Arnold, swede, mystery], 4: [Bob, german, science fiction], 5: [Eric, norwegian, fantasy]} | grilled cheese | 1
{1: [Peter, brit, romance], 2: [Alice, dane, biography, stir fry], 3: [Arnold, swede, mystery], 4: [Bob, german, science fiction], 5: [Eric, norwegian, fantasy]} | grilled cheese | 3
{1: [Peter, brit, romance], 2: [Alice, dane, biography, stir fry], 3: [Arnold, swede, mystery, grilled cheese], 4: [Bob, german, science fiction], 5: [Eric, norwegian, fantasy]} | pizza | 4
{1: [Peter, brit, romance], 2: [Alice, dane, biography, stir fry], 3: [Arnold, swede, mystery, grilled cheese], 4: [Bob, german, science fiction, pizza], 5: [Eric, norwegian, fantasy]} | spaghetti | 1
{1: [Peter, brit, romance, spaghetti], 2: [Alice, dane, biography, stir fry], 3: [Arnold, swede, mystery, grilled cheese], 4: [Bob, german, science fiction, pizza], 5: [Eric, norwegian, fantasy]} | stew | 5
{1: [Peter, brit, romance, spaghetti], 2: [Alice, dane, biography, stir fry], 3: [Arnold, swede, mystery, grilled cheese], 4: [Bob, german, science fiction, pizza], 5: [Eric, norwegian, fantasy, stew]} | f.red | 1
{1: [Peter, brit, romance, spaghetti], 2: [Alice, dane, biography, stir fry], 3: [Arnold, swede, mystery, grilled cheese], 4: [Bob, german, science fiction, pizza], 5: [Eric, norwegian, fantasy, stew]} | f.red | 2
